,reviews,cleaned_reviews,sentiment_score
0,"Not Verified |  Extremely rude ground service. We were non-rev flying and London was our connection/layover. Gate agent was extremely rude and forced me to check my carry on suitcase with the explanation that it was “oversized.” However, when I put it in the sizer, it fit perfectly without force. The plane was not fully booked and had lots of room overhead. The gate agent was insistent and rushed us with no regard for the fact that we would have to redo security in order to get our bags again, as we were switching airlines and needed to carry them on due to our non-rev status. The flight itself was good, attendants were polite and helpful. No complains there. Just extremely unhappy with the gate agent service. I understand that it is not a pleasant job and frankly I would not be overjoyed to work there either but that does not explain why we had to be inconvenienced with no fair explanation or attention.",extremely rude ground service nonrev flying london connectionlayover gate agent extremely rude forced check carry suitcase explanation “oversized” however put sizer fit perfectly without force plane fully booked lots room overhead gate agent insistent rushed us regard fact would redo security order get bags switching airlines needed carry due nonrev status flight good attendants polite helpful complains extremely unhappy gate agent service understand pleasant job frankly would overjoyed work either explain inconvenienced fair explanation attention,negative
1,"✅ Trip Verified |  My son and I flew to Geneva last Sunday for a skiing holiday in Les Arc. The flight was cancelled moments prior to boarding and we were transferred to a flight departing three and a half hours later, that then got delayed by a further three hours. They didn't load any food on to the plane and forgot to load the baggage for all the business class passengers who had been on the earlier flight. Problems happen, it's a complex operation. What is totally unacceptable is the service one receives when there is a problem. The offshore call centres are unhelpful and obstructive, wanting to fob off issues by getting the customer to call special help lines that merely refer one to a webpage and then cut off. The web pages are often unable to give information as they are not updated and often refuse to update your inputs 'at this time. please try again later'. There is no access to people that are willing to help, empowered to help, or actually move a situation forwards in any way. We've been sitting in a hotel waiting for the bag to arrive for two and a half days, unable to ski due to our entire wardrobes being in the cases. The outdated luggage 'tracking system', had the suitacase in Geneva 2 days ago, where it sat with no-one willing to step up and get it delivered. What an incredibly heartless and incompetent company. ",son flew geneva last sunday skiing holiday les arc flight cancelled moments prior boarding transferred flight departing three half hours later got delayed three hours didnt load food plane forgot load baggage business class passengers earlier flight problems happen complex operation totally unacceptable service one receives problem offshore call centres unhelpful obstructive wanting fob issues getting customer call special help lines merely refer one webpage cut web pages often unable give information updated often refuse update inputs time please try later access people willing help empowered help actually move situation forwards way weve sitting hotel waiting bag arrive two half days unable ski due entire wardrobes cases outdated luggage tracking system suitacase geneva  days ago sat noone willing step get delivered incredibly heartless incompetent company ,negative
2,"✅ Trip Verified |  For the price paid (bought during a sale) it was a decent experience although the club class (business class) seats offer no more legroom than economy class (using short-haul fleet on a 4 hour flight). Fast track through security was not honoured. The lounge at Istanbul airport was over-crowded as it is also open to the public who can pay for usage, causing a long queue for entry , which was badly organised. Boarding was smooth, cabin crew were friendly but their service was hit-and-miss. Eg. Some people got a “welcome” and some didn’t; Half of the cabin was automatically offered coffee after dinner but not the other half. However, drinks were replenished generously and regularly and the meal was good (with a choice of three mains from the menu).",price paid bought sale decent experience although club class business class seats offer legroom economy class using shorthaul fleet  hour flight fast track security honoured lounge istanbul airport overcrowded also open public pay usage causing long queue entry  badly organised boarding smooth cabin crew friendly service hitandmiss eg people got “welcome” didn’t half cabin automatically offered coffee dinner half however drinks replenished generously regularly meal good choice three mains menu,positive
3,"✅ Trip Verified |  Flight left on time and arrived over half an hour earlier than scheduled (thanks to strong tail winds). The flight was full but no catering had been loaded for economy passenger at Heathrow so for 3 and a half hours we only had a small bottle of water and a small packet of corn snacks. Nothing at all available to even buy to eat! Worse than a low-cost carrier experience in this sense. One of the light panels overhead the seats towards the back of the plan was broken and loose and just hanging above the unfortunate passenger's head for the whole flight (poor maintenance of cabin). I would choose another airline on this route in the future, as one of their competitors offers full meal service on this route even in the economy cabin.",flight left time arrived half hour earlier scheduled thanks strong tail winds flight full catering loaded economy passenger heathrow  half hours small bottle water small packet corn snacks nothing available even buy eat worse lowcost carrier experience sense one light panels overhead seats towards back plan broken loose hanging unfortunate passengers head whole flight poor maintenance cabin would choose another airline route future one competitors offers full meal service route even economy cabin,negative
4,"✅ Trip Verified |  Very Poor Business class product, BA is not even close to the other airline leaders. Which ever way they sell the seat on a 777 it is a 2-4-2 layout. The cabin feels and is very cramped. The food in business class is economy quality just served in a china dish! However, the price of course is at premier levels. The only positive of the whole fight and return were the cabin crew who were fantastic. I felt genuinely sorry for them having to try and flog such a poor product. Would I fly BA business again? only if their were no other options and I had no choice.",poor business class product ba even close airline leaders ever way sell seat   layout cabin feels cramped food business class economy quality served china dish however price course premier levels positive whole fight return cabin crew fantastic felt genuinely sorry try flog poor product would fly ba business options choice,positive
5,"Not Verified | This review is for LHR-SYD-LHR. BA015 and BA016. Business class had a 1-2-1 configuration on 777 giving space, privacy and easy aisle access. Seat reclines into comfortable flat bed. Good quality pillow and duvet. Privacy with sliding door. Good storage space around the seat and charging point. Flights on time - no delays. Gluten free meals were very poor in quality and presentation. Warm processed meat between two bland slices of GF bread apparently is a business class breakfast. On two sectors the main course (no choice offered) was bland fish which was served in a single small tray covered with foil - in business class? Condensation had formed as the dish was reheated (probably from chilled) so the offering was sitting in a weak watery liquid. One crew member appeared genuinely apologetic as they meekly served one meal. Do BA also serve the same GF offering in economy, economy plus and first on a long haul flight? My advice if GF - take your own food or dine in the lounge if you are in the care of BA for 24 hours. My travelling companion had very good regular meals, or so they told me, with a choice of main course on the same flights. Crew gave the impression that they were doing a job covering the basics and rather than welcoming and engaging. Usual hospitality industry waffle about service but little of substance delivered.",review lhrsydlhr ba ba business class  configuration  giving space privacy easy aisle access seat reclines comfortable flat bed good quality pillow duvet privacy sliding door good storage space around seat charging point flights time  delays gluten free meals poor quality presentation warm processed meat two bland slices gf bread apparently business class breakfast two sectors main course choice offered bland fish served single small tray covered foil  business class condensation formed dish reheated probably chilled offering sitting weak watery liquid one crew member appeared genuinely apologetic meekly served one meal ba also serve gf offering economy economy plus first long haul flight advice gf  take food dine lounge care ba  hours travelling companion good regular meals told choice main course flights crew gave impression job covering basics rather welcoming engaging usual hospitality industry waffle service little substance delivered,positive
6,"✅ Trip Verified | Absolutely pathetic business class product. BA is not even remotely competitive with other International airlines in the business class market. With old outdated 8 across seating - no, I did not make a typing mistake - you either have to climb across someone or someone has to climb across you to gain aisle access. The crew must also hate this layout since they have to reach through little window openings to provide service to passengers in the 2 center seats. BA, like most other European-based airlines does not have a factual Intra-European business class product even though they promote & sell business class. Intra-Europe flights feature the same 3+3 seating throughout the aircraft & the only difference being the middle seat is left empty in ""business class"" & passengers get a meal & drinks, but this does not justify the higher cost. BA's Trans-Atlantic business class product is only slightly better because of the ""narrow"" 8 across seating. The biggest surprise on both the LIS/LHR & LHR/IAH flights was that BA has, in fact, substantially improved their food quality. Shocking! Unfortunately, it is served in the WORST business class configurations of ANY International airline I have flown. The entertainment  system & small screens - my laptop screen is twice the size - is like an airline offering 2 decades ago. The flight crew was ""pleasant & perfunctory"" which is about the best one can expect from a BA crew. BA will simply never match the quality of carriers like Singapore, Emirates, Qatar, Etihad, EVA, ANA, Japan, Air New Zealand, Qantas or many others. BA can compete with US-based airlines like Delta, American & United, which are also not even in the same Universe in terms of a high-quality business class product. One of the biggest slaps in the face is that BA expects business class passengers to pay to select seats, even though they have paid thousands of dollars to fly business class. Several hundred US dollars for Trans-Atlantic flights. Only if you wait until 24 hours before flight time are you allowed to select a seat at no cost. Certainly another BA Management decision that was made without a functioning brain.",absolutely pathetic business class product ba even remotely competitive international airlines business class market old outdated  across seating  make typing mistake  either climb across someone someone climb across gain aisle access crew must also hate layout since reach little window openings provide service passengers  center seats ba like europeanbased airlines factual intraeuropean business class product even though promote  sell business class intraeurope flights feature  seating throughout aircraft  difference middle seat left empty business class  passengers get meal  drinks justify higher cost bas transatlantic business class product slightly better narrow  across seating biggest surprise lislhr  lhriah flights ba fact substantially improved food quality shocking unfortunately served worst business class configurations international airline flown entertainment  system  small screens  laptop screen twice size  like airline offering  decades ago flight crew pleasant  perfunctory best one expect ba crew ba simply never match quality carriers like singapore emirates qatar etihad eva ana japan air new zealand qantas many others ba compete usbased airlines like delta american  united also even universe terms highquality business class product one biggest slaps face ba expects business class passengers pay select seats even though paid thousands dollars fly business class several hundred us dollars transatlantic flights wait  hours flight time allowed select seat cost certainly another ba management decision made without functioning brain,negative
7,"Not Verified |  Overall not bad. Staff look tired and overworked, trying their best. Weird seats, I was in 21G going, and 21D going home. The buttons to press for the seat recline are so stiff I had to get help on both flights to get them to work. There is another button, also very stiff, to bring the “leg rest” out. This is an awkward thing which doesn’t come up far enough to be of any use at all for your legs, but just obstructs your feet really. Again, I had to get help to activate the very stiff buttons. At one point, the lady next to me was pressing the buttons for me while I tried to recline, sit up, or put the “leg rest” back. We gave up and called the flight attendant, who also had trouble. BA: please give this some maintenance! Food: only one out of three menu choices available by the time it got to me in Premium Ec. It was pasta and was not too bad. A Christmas Turkey Dinner was offered, but why not load more if it is so popular that it is not available 10 minutes into the meal service? “Breakfast” was an unidentified soggy pastry thing in a cardboard tube. It was disgusting, same offered on return journey. A cold pastry and fruit would be so much nicer. The tea and coffee was hot at least. Overall, I would say Air Canada provides a much superior Premium Ec service than BA. I won’t choose BA again.",overall bad staff look tired overworked trying best weird seats g going going home buttons press seat recline stiff get help flights get work another button also stiff bring “leg rest” awkward thing doesn’t come far enough use legs obstructs feet really get help activate stiff buttons one point lady next pressing buttons tried recline sit put “leg rest” back gave called flight attendant also trouble ba please give maintenance food one three menu choices available time got premium ec pasta bad christmas turkey dinner offered load popular available  minutes meal service “breakfast” unidentified soggy pastry thing cardboard tube disgusting offered return journey cold pastry fruit would much nicer tea coffee hot least overall would say air canada provides much superior premium ec service ba won’t choose ba,negative
8,"✅ Trip Verified | This was our first flight with British Airways in over 13 years and as usual I couldn’t fault them. As we were connecting, we had little interaction with ground staff - staff in the lounge were friendly and helpful. Cabin crew on the flight were great - very welcoming and friendly. Our meals were delicious & no shortage of drinks being offered. The seats were economy seats with the middle row blocked off and some recline. We arrived into Stockholm a little early through a snow shower which was a nice welcome back to Stockholm. Bags (checked in at JFK) were delivered safely within 20 mins of arriving.",first flight british airways  years usual couldn’t fault connecting little interaction ground staff  staff lounge friendly helpful cabin crew flight great  welcoming friendly meals delicious  shortage drinks offered seats economy seats middle row blocked recline arrived stockholm little early snow shower nice welcome back stockholm bags checked jfk delivered safely within  mins arriving,positive
9,"✅ Trip Verified | I recently encountered a highly disappointing experience with British Airways, specifically regarding their customer service. After my initial flight leg was canceled, I was rebooked with a connection at London Heathrow reduced to a mere 1 hour and 30 minutes. Realizing the impracticality of this, I promptly contacted British Airways within 10 minutes to request a more reasonable layover of 3-4 hours. Shockingly, the customer support representative flatly refused, citing an inability to change my flight. Despite explaining the logistical challenges of a short layover and a terminal change requiring additional security procedures, I received no assistance. To add to the frustration, the representative inaccurately noted on my account that I was presented with multiple options during our conversation. Moreover, the use of military time format and the lack of initial options provided only exacerbated the communication issues. Both phone and email support proved equally incompetent, and I was informed that customer service is outsourced to India, allegedly contributing to the subpar service. This experience has left me not only struggling to rebook my flight but also with a strong resolve to avoid British Airways in the future. The lack of assistance, blame-shifting, and overall incompetence in customer service make it my worst experience yet. I strongly advise others to steer clear of British Airways and their appalling customer service.",recently encountered highly disappointing experience british airways specifically regarding customer service initial flight leg canceled rebooked connection london heathrow reduced mere  hour  minutes realizing impracticality promptly contacted british airways within  minutes request reasonable layover  hours shockingly customer support representative flatly refused citing inability change flight despite explaining logistical challenges short layover terminal change requiring additional security procedures received assistance add frustration representative inaccurately noted account presented multiple options conversation moreover use military time format lack initial options provided exacerbated communication issues phone email support proved equally incompetent informed customer service outsourced india allegedly contributing subpar service experience left struggling rebook flight also strong resolve avoid british airways future lack assistance blameshifting overall incompetence customer service make worst experience yet strongly advise others steer clear british airways appalling customer service,negative
