Date,Name,Type
2015-01-01,New Year's Day,Public Holiday
2015-01-06,Epiphany,Public Holiday
2015-01-15,Martin Luther King Jr Day,Bank/Public Sector Holiday
2015-02-19,Presidents' Day,Bank/Public Sector Holiday
2015-03-02,American Citizenship Day,Bank/Public Sector Holiday
2015-03-22,Emancipation Day,Bank/Public Sector Holiday
2015-03-29,Good Friday,Public Holiday
2015-05-27,Memorial Day,Bank/Public Sector Holiday
2015-07-25,Constitution Day,Bank/Public Sector Holiday
2015-09-02,Labor Day,Bank/Public Sector Holiday
2015-10-14,Columbus Day,Bank/Public Sector Holiday
2015-11-11,Veterans Day,Bank/Public Sector Holiday
2015-11-19,Discovery Day,Bank/Public Sector Holiday
2015-11-28,Thanksgiving Day,Public Holiday
2015-12-24,Christmas Eve,Observance
2015-12-25,Christmas Day,Public Holiday
